Origin,Destination,Time,Distance
ES70,PT30,1974.0,531.0
ES70,ES61,4944.0,1424.0
ES70,ES43,5044.0,1611.0
ES70,PT15,5056.0,1617.0
ES70,ES63,5074.0,1459.0
ES70,PT18,5138.0,1763.0
ES70,PT17,5194.0,1880.0
ES70,ES62,5210.0,1868.0
ES70,ES42,5222.0,1937.0
ES70,ES30,5237.0,1947.0
ES70,ES41,5271.0,1999.0
ES70,PT16,5279.0,2047.0
ES70,ES52,5303.0,2073.0
ES70,PT11,5342.0,2156.0
ES70,ES12,5376.0,2192.0
ES70,ES13,5401.0,2242.0
ES70,ES24,5403.0,2252.0
ES70,ES23,5418.0,2252.0
ES70,ES11,5421.0,2296.0
ES70,ES21,5434.0,2279.0
ES70,ES22,5463.0,2328.0
ES70,ES51,5490.0,2409.0
ES70,AD00,5605.0,2546.0
ES70,FRI1,5614.0,2575.0
ES70,FRJ2,5652.0,2676.0
ES70,FRJ1,5683.0,2750.0
ES70,ES64,5727.0,1819.0
ES70,FRI3,5742.0,2819.0
ES70,FRI2,5754.0,2788.0
ES70,FRL0,5767.0,2908.0
ES70,FRG0,5793.0,2915.0
ES70,FRK1,5811.0,2935.0
ES70,FRK2,5837.0,3047.0
ES70,FRB0,5854.0,3029.0
ES70,CH01,5908.0,3188.0
ES70,FR10,5933.0,3152.0
ES70,FRC1,5936.0,3230.0
ES70,FRC2,5968.0,3288.0
ES70,ITC3,5976.0,3258.0
ES70,ITC1,5983.0,3270.0
ES70,ITC2,5985.0,3301.0
ES70,CH02,5995.0,3345.0
ES70,ITC4,6047.0,3380.0
ES70,CH03,6051.0,3439.0
ES70,CH06,6056.0,3452.0
ES70,CH04,6063.0,3463.0
ES70,DE13,6068.0,3473.0
ES70,FRF1,6102.0,3527.0
ES70,CH05,6110.0,3546.0
ES70,CH07,6110.0,3486.0
ES70,ITI1,6113.0,3485.0
ES70,LI00,6119.0,3573.0
ES70,AT34,6135.0,3582.0
ES70,ITH5,6151.0,3540.0
