date,country,fuel,price
2023-05-22,AT,Automotive gas oil,1.49
2023-05-22,AT,Euro-super 95,1.55
2023-05-22,AT,Fuel oil - Sulphur less than 1%,0.71
2023-05-22,AT,Heating gas oil,1.08
2023-05-22,BE,Automotive gas oil,1.66
2023-05-22,BE,Euro-super 95,1.68
2023-05-22,BE,Fuel oil - Sulphur less than 1%,0.44
2023-05-22,BE,Heating gas oil,0.83
2023-05-22,BE,LPG - motor fuel,0.62
2023-05-22,BG,Automotive gas oil,1.24
2023-05-22,BG,Euro-super 95,1.29
2023-05-22,BG,Heating gas oil,1.28
2023-05-22,BG,LPG - motor fuel,0.5
2023-05-22,HR,Automotive gas oil,1.38
2023-05-22,HR,Euro-super 95,1.37
2023-05-22,HR,Fuel oil - Sulphur less than 1%,0.78
2023-05-22,HR,Heating gas oil,0.88
2023-05-22,HR,LPG - motor fuel,0.9
2023-05-22,CY,Automotive gas oil,1.39
2023-05-22,CY,Euro-super 95,1.39
2023-05-22,CY,Fuel oil - Sulphur less than 1%,0.8
2023-05-22,CY,Heating gas oil,1.01
2023-05-22,CZ,Automotive gas oil,1.32
2023-05-22,CZ,Euro-super 95,1.54
2023-05-22,CZ,Heating gas oil,0.89
2023-05-22,CZ,LPG - motor fuel,0.65
2023-05-22,DK,Automotive gas oil,1.58
2023-05-22,DK,Euro-super 95,1.94
2023-05-22,DK,Fuel oil - Sulphur less than 1%,1.31
2023-05-22,DK,Heating gas oil,1.65
2023-05-22,EE,Automotive gas oil,1.5
2023-05-22,EE,Euro-super 95,1.7
2023-05-22,EE,Heating gas oil,1.03
2023-05-22,EE,LPG - motor fuel,0.69
2023-05-22,FI,Automotive gas oil,1.77
2023-05-22,FI,Euro-super 95,1.89
2023-05-22,FI,Heating gas oil,1.37
2023-05-22,FR,Automotive gas oil,1.66
2023-05-22,FR,Euro-super 95,1.85
2023-05-22,FR,Fuel oil - Sulphur less than 1%,0.65
2023-05-22,FR,Heating gas oil,1.13
2023-05-22,FR,LPG - motor fuel,0.98
2023-05-22,DE,Automotive gas oil,1.59
2023-05-22,DE,Euro-super 95,1.85
2023-05-22,DE,Heating gas oil,0.98
2023-05-22,DE,LPG - motor fuel,1.03
2023-05-22,GR,Automotive gas oil,1.55
2023-05-22,GR,Euro-super 95,1.83
2023-05-22,GR,Fuel oil - Sulphur less than 1%,0.67
2023-05-22,GR,Heating gas oil,1.26
2023-05-22,GR,Lead substitute petrol,2.03
2023-05-22,HU,Automotive gas oil,1.46
2023-05-22,HU,Euro-super 95,1.49
2023-05-22,HU,Fuel oil - Sulphur less than 1%,0.83
2023-05-22,HU,Heating gas oil,1.46
2023-05-22,HU,LPG - motor fuel,0.85
2023-05-22,IE,Automotive gas oil,1.46
2023-05-22,IE,Euro-super 95,1.57
2023-05-22,IE,Fuel oil - Sulphur less than 1%,0.93
2023-05-22,IE,Heating gas oil,0.87
2023-05-22,IT,Automotive gas oil,1.65
2023-05-22,IT,Euro-super 95,1.81
2023-05-22,IT,Fuel oil - Sulphur less than 1%,0.61
2023-05-22,IT,Heating gas oil,1.43
2023-05-22,IT,LPG - motor fuel,0.76
2023-05-22,LV,Automotive gas oil,1.42
2023-05-22,LV,Euro-super 95,1.6
2023-05-22,LV,Heating gas oil,0.94
2023-05-22,LV,LPG - motor fuel,0.74
2023-05-22,LT,Automotive gas oil,1.3
2023-05-22,LT,Euro-super 95,1.47
2023-05-22,LT,Fuel oil - Sulphur higher than 1%,0.34
2023-05-22,LT,Heating gas oil,0.79
2023-05-22,LT,LPG - motor fuel,0.58
2023-05-22,LU,Automotive gas oil,1.4
2023-05-22,LU,Euro-super 95,1.57
2023-05-22,LU,Heating gas oil,0.88
2023-05-22,LU,LPG - motor fuel,0.63
2023-05-22,MT,Automotive gas oil,1.21
2023-05-22,MT,Euro-super 95,1.34
2023-05-22,MT,Heating gas oil,1.0
2023-05-22,NL,Automotive gas oil,1.51
2023-05-22,NL,Euro-super 95,1.81
2023-05-22,NL,LPG - motor fuel,0.76
2023-05-22,PL,Automotive gas oil,1.35
