date,country,fuel,price
2023-05-15,AT,Automotive gas oil,1492.0
2023-05-15,AT,Euro-super 95,1555.0
2023-05-15,AT,Fuel oil - Sulphur less than 1%,711.0
2023-05-15,AT,Heating gas oil,1078.0
2023-05-15,BE,Automotive gas oil,1663.0
2023-05-15,BE,Euro-super 95,1698.0
2023-05-15,BE,Fuel oil - Sulphur less than 1%,428.0
2023-05-15,BE,Heating gas oil,814.0
2023-05-15,BE,LPG - motor fuel,618.0
2023-05-15,BG,Automotive gas oil,1247.0
2023-05-15,BG,Euro-super 95,1290.0
2023-05-15,BG,Heating gas oil,1071.0
2023-05-15,BG,LPG - motor fuel,516.0
2023-05-15,HR,Automotive gas oil,1373.0
2023-05-15,HR,Euro-super 95,1367.0
2023-05-15,HR,Fuel oil - Sulphur less than 1%,776.0
2023-05-15,HR,Heating gas oil,800.0
2023-05-15,HR,LPG - motor fuel,860.0
2023-05-15,CY,Automotive gas oil,1420.0
2023-05-15,CY,Euro-super 95,1421.0
2023-05-15,CY,Fuel oil - Sulphur less than 1%,798.0
2023-05-15,CY,Heating gas oil,1012.0
2023-05-15,CZ,Automotive gas oil,1334.0
2023-05-15,CZ,Euro-super 95,1547.0
2023-05-15,CZ,Heating gas oil,884.0
2023-05-15,CZ,LPG - motor fuel,660.0
2023-05-15,DK,Automotive gas oil,1552.0
2023-05-15,DK,Euro-super 95,1912.0
2023-05-15,DK,Fuel oil - Sulphur less than 1%,1308.0
2023-05-15,DK,Heating gas oil,1626.0
2023-05-15,EE,Automotive gas oil,1498.0
2023-05-15,EE,Euro-super 95,1698.0
2023-05-15,EE,Heating gas oil,1024.0
2023-05-15,EE,LPG - motor fuel,692.0
2023-05-15,FI,Automotive gas oil,1803.0
2023-05-15,FI,Euro-super 95,1907.0
2023-05-15,FI,Heating gas oil,1356.0
2023-05-15,FR,Automotive gas oil,1656.0
2023-05-15,FR,Euro-super 95,1855.0
2023-05-15,FR,Fuel oil - Sulphur less than 1%,644.0
2023-05-15,FR,Heating gas oil,1135.0
2023-05-15,FR,LPG - motor fuel,981.0
2023-05-15,DE,Automotive gas oil,1580.0
2023-05-15,DE,Euro-super 95,1836.0
2023-05-15,DE,Heating gas oil,990.0
2023-05-15,DE,LPG - motor fuel,1041.0
2023-05-15,GR,Automotive gas oil,1538.0
2023-05-15,GR,Euro-super 95,1827.0
2023-05-15,GR,Fuel oil - Sulphur less than 1%,668.0
2023-05-15,GR,Heating gas oil,1262.0
2023-05-15,GR,Lead substitute petrol,2029.0
2023-05-15,HU,Automotive gas oil,1476.0
2023-05-15,HU,Euro-super 95,1507.0
2023-05-15,HU,Fuel oil - Sulphur less than 1%,839.0
2023-05-15,HU,Heating gas oil,1476.0
2023-05-15,HU,LPG - motor fuel,886.0
2023-05-15,IE,Automotive gas oil,1492.0
2023-05-15,IE,Euro-super 95,1595.0
2023-05-15,IE,Fuel oil - Sulphur less than 1%,926.0
2023-05-15,IE,Heating gas oil,859.0
2023-05-15,IT,Automotive gas oil,1654.0
2023-05-15,IT,Euro-super 95,1812.0
2023-05-15,IT,Fuel oil - Sulphur less than 1%,597.0
2023-05-15,IT,Heating gas oil,1428.0
2023-05-15,IT,LPG - motor fuel,762.0
2023-05-15,LV,Automotive gas oil,1406.0
2023-05-15,LV,Euro-super 95,1590.0
2023-05-15,LV,Heating gas oil,931.0
2023-05-15,LV,LPG - motor fuel,735.0
2023-05-15,LT,Automotive gas oil,1311.0
2023-05-15,LT,Euro-super 95,1478.0
2023-05-15,LT,Fuel oil - Sulphur higher than 1%,339.0
2023-05-15,LT,Heating gas oil,780.0
2023-05-15,LT,LPG - motor fuel,577.0
2023-05-15,LU,Automotive gas oil,1390.0
2023-05-15,LU,Euro-super 95,1549.0
2023-05-15,LU,Heating gas oil,848.0
2023-05-15,LU,LPG - motor fuel,642.0
2023-05-15,MT,Automotive gas oil,1210.0
2023-05-15,MT,Euro-super 95,1340.0
2023-05-15,MT,Heating gas oil,1000.0
2023-05-15,NL,Automotive gas oil,1501.0
2023-05-15,NL,Euro-super 95,1802.0
2023-05-15,NL,LPG - motor fuel,766.0
2023-05-15,PL,Automotive gas oil,1360.0
2023-05-15,PL,Euro-super 95,1442.0
2023-05-15,PL,Fuel oil - Sulphur higher than 1%,525.0
2023-05-15,PL,Fuel oil - Sulphur less than 1%,581.0
2023-05-15,PL,Heating gas oil,1093.0
2023-05-15,PL,LPG - motor fuel,665.0
2023-05-15,PT,Automotive gas oil,1425.0
2023-05-15,PT,Euro-super 95,1637.0
2023-05-15,PT,Fuel oil - Sulphur less than 1%,859.0
2023-05-15,PT,Heating gas oil,1420.0
2023-05-15,PT,LPG - motor fuel,785.0
2023-05-15,RO,Automotive gas oil,1375.0
2023-05-15,RO,Euro-super 95,1358.0
2023-05-15,RO,Fuel oil - Sulphur less than 1%,613.0
2023-05-15,RO,Heating gas oil,1274.0
2023-05-15,RO,LPG - motor fuel,866.0
2023-05-15,SK,Automotive gas oil,1413.0
2023-05-15,SK,Euro-super 95,1525.0
2023-05-15,SK,Fuel oil - Sulphur higher than 1%,622.0
2023-05-15,SK,Fuel oil - Sulphur less than 1%,629.0
2023-05-15,SK,LPG - motor fuel,695.0
2023-05-15,SI,Automotive gas oil,1459.0
2023-05-15,SI,Euro-super 95,1420.0
2023-05-15,SI,Heating gas oil,1044.0
2023-05-15,SI,LPG - motor fuel,892.0
2023-05-15,ES,Automotive gas oil,1412.0
2023-05-15,ES,Euro-super 95,1580.0
2023-05-15,ES,Fuel oil - Sulphur less than 1%,571.0
2023-05-15,ES,Heating gas oil,918.0
2023-05-15,ES,LPG - motor fuel,946.0
2023-05-15,SE,Automotive gas oil,1843.0
2023-05-15,SE,Euro-super 95,1693.0
2023-05-15,SE,Fuel oil - Sulphur less than 1%,892.0
2023-05-15,SE,Heating gas oil,1171.0
