date,country,fuel,price
2023-06-12,AT,Automotive gas oil,1.51
2023-06-12,AT,Euro-super 95,1.58
2023-06-12,AT,Fuel oil - Sulphur less than 1%,0.72
2023-06-12,AT,Heating gas oil,1.09
2023-06-12,BE,Automotive gas oil,1.71
2023-06-12,BE,Euro-super 95,1.76
2023-06-12,BE,Fuel oil - Sulphur less than 1%,0.46
2023-06-12,BE,Heating gas oil,0.84
2023-06-12,BE,LPG - motor fuel,0.59
2023-06-12,BG,Automotive gas oil,1.23
2023-06-12,BG,Euro-super 95,1.29
2023-06-12,BG,Heating gas oil,1.28
2023-06-12,BG,LPG - motor fuel,0.45
2023-06-12,HR,Automotive gas oil,1.43
2023-06-12,HR,Euro-super 95,1.43
2023-06-12,HR,Fuel oil - Sulphur less than 1%,0.78
2023-06-12,HR,Heating gas oil,0.84
2023-06-12,HR,LPG - motor fuel,0.92
2023-06-12,CY,Automotive gas oil,1.38
2023-06-12,CY,Euro-super 95,1.38
2023-06-12,CY,Fuel oil - Sulphur less than 1%,0.8
2023-06-12,CY,Heating gas oil,0.99
2023-06-12,CZ,Automotive gas oil,1.32
2023-06-12,CZ,Euro-super 95,1.55
2023-06-12,CZ,Heating gas oil,0.91
2023-06-12,CZ,LPG - motor fuel,0.64
2023-06-12,DK,Automotive gas oil,1.59
2023-06-12,DK,Euro-super 95,1.95
2023-06-12,DK,Fuel oil - Sulphur less than 1%,1.31
2023-06-12,DK,Heating gas oil,1.67
2023-06-12,EE,Automotive gas oil,1.5
2023-06-12,EE,Euro-super 95,1.7
2023-06-12,EE,Heating gas oil,1.04
2023-06-12,EE,LPG - motor fuel,0.69
2023-06-12,FI,Automotive gas oil,1.8
2023-06-12,FI,Euro-super 95,1.93
2023-06-12,FI,Heating gas oil,1.39
2023-06-12,FR,Automotive gas oil,1.68
2023-06-12,FR,Euro-super 95,1.88
2023-06-12,FR,Fuel oil - Sulphur less than 1%,0.66
2023-06-12,FR,Heating gas oil,1.14
2023-06-12,FR,LPG - motor fuel,0.98
2023-06-12,DE,Automotive gas oil,1.59
2023-06-12,DE,Euro-super 95,1.86
2023-06-12,DE,Heating gas oil,0.97
2023-06-12,DE,LPG - motor fuel,1.02
2023-06-12,GR,Automotive gas oil,1.57
2023-06-12,GR,Euro-super 95,1.88
2023-06-12,GR,Fuel oil - Sulphur less than 1%,0.67
2023-06-12,GR,Heating gas oil,1.26
2023-06-12,GR,Lead substitute petrol,2.06
2023-06-12,HU,Automotive gas oil,1.51
2023-06-12,HU,Euro-super 95,1.57
2023-06-12,HU,Fuel oil - Sulphur less than 1%,0.72
2023-06-12,HU,Heating gas oil,1.51
2023-06-12,HU,LPG - motor fuel,0.87
2023-06-12,IE,Automotive gas oil,1.47
2023-06-12,IE,Euro-super 95,1.59
2023-06-12,IE,Fuel oil - Sulphur less than 1%,0.95
2023-06-12,IE,Heating gas oil,0.88
2023-06-12,IT,Automotive gas oil,1.67
2023-06-12,IT,Euro-super 95,1.83
2023-06-12,IT,Fuel oil - Sulphur less than 1%,0.61
2023-06-12,IT,Heating gas oil,1.44
2023-06-12,IT,LPG - motor fuel,0.74
2023-06-12,LV,Automotive gas oil,1.4
2023-06-12,LV,Euro-super 95,1.57
2023-06-12,LV,Heating gas oil,0.92
2023-06-12,LV,LPG - motor fuel,0.73
2023-06-12,LT,Automotive gas oil,1.31
2023-06-12,LT,Euro-super 95,1.49
2023-06-12,LT,Fuel oil - Sulphur higher than 1%,0.34
2023-06-12,LT,Heating gas oil,0.81
2023-06-12,LT,LPG - motor fuel,0.58
2023-06-12,LU,Automotive gas oil,1.43
2023-06-12,LU,Euro-super 95,1.6
2023-06-12,LU,Heating gas oil,0.98
2023-06-12,LU,LPG - motor fuel,0.62
2023-06-12,MT,Automotive gas oil,1.21
2023-06-12,MT,Euro-super 95,1.34
2023-06-12,MT,Heating gas oil,1.0
2023-06-12,NL,Automotive gas oil,1.52
2023-06-12,NL,Euro-super 95,1.83
2023-06-12,NL,LPG - motor fuel,0.74
2023-06-12,PL,Automotive gas oil,1.38
2023-06-12,PL,Euro-super 95,1.47
2023-06-12,PL,Fuel oil - Sulphur higher than 1%,0.57
2023-06-12,PL,Fuel oil - Sulphur less than 1%,0.59
2023-06-12,PL,Heating gas oil,1.12
2023-06-12,PL,LPG - motor fuel,0.65
2023-06-12,PT,Automotive gas oil,1.48
2023-06-12,PT,Euro-super 95,1.7
2023-06-12,PT,Fuel oil - Sulphur less than 1%,0.88
2023-06-12,PT,Heating gas oil,1.46
2023-06-12,PT,LPG - motor fuel,0.76
2023-06-12,RO,Automotive gas oil,1.35
2023-06-12,RO,Euro-super 95,1.36
2023-06-12,RO,Fuel oil - Sulphur less than 1%,0.64
2023-06-12,RO,Heating gas oil,1.33
